Sentence,Sentiment
"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",1
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",0
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",1
$SPY wouldn't be surprised to see a green close,1
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,0
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",0
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,1
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,1
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,0
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",1
$FB gone green on day,1
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,1
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",1
Shire CEO steps up drive to get Baxalta board talking,1
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,1
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",1
`` We are pleased to welcome Tapeks Noma into Cramo group .,1
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,1
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",1
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,0
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,0
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",0
InterContinental Hotels first-quarter global room revenue lags estimates,0
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",1
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",1
"L&G still paying price for dividend cut during crisis, chief says",0
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,1
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",1
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",1
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",1
